# Block,TrialType,Arrow,Response,leftSSD,rightSSD,ACC,RT
   1,   0,   2,   0, 200, 200,  -1,   0
   1,   0,   2,   0, 200, 200,  -1,   0
   1,   0,   2,   0, 200, 200,  -1,   0
   1,   1,   2,   0, 200, 250,   3,   0
   1,   0,   2,   0, 200, 250,  -1,   0
   1,   0,   2,   0, 200, 250,  -1,   0
   1,   0,   2,   2, 200, 250,   1, 387
   1,   0,   2,   2, 200, 250,   1, 365
   1,   1,   2,   2, 200, 200,   4,  79
   1,   1,   2,   2, 200, 150,   4, 176
   2,   0,   2,   2, 200, 150,   1, 478
   2,   0,   2,   2, 200, 150,   1, 417
   2,   0,   2,   2, 200, 150,   1, 328
   2,   0,   2,   2, 200, 150,   1, 284
   2,   1,   2,   2, 200, 100,   4, 177
   2,   0,   2,   0, 200, 100,  -1,   0
   2,   0,   2,   2, 200, 100,   1, 395
   2,   1,   2,   0, 200, 150,   3,   0
   2,   0,   2,   2, 200, 150,   1, 459
   2,   1,   2,   0, 200, 200,   3,   0
# 102,20,Male,Caucasian
